#{"t_start": 1773518590.3210952, "env_id": "None"}
r,l,t
-51.5,34,1.738585
-53.0,22,1.755077
-58.0,39,1.781945
-54.0,29,1.803084
-60.5,34,1.824749
-61.0,36,1.853199
-52.5,44,1.887786
-65.5,36,1.914694
-56.0,40,1.938177
-54.0,26,1.95867
-58.5,41,1.988484
-54.5,25,2.008054
-56.5,27,2.027413
-56.5,39,2.054168
-55.5,26,2.071071
-53.5,24,2.657671
-54.0,20,2.674472
-44.5,30,2.704028
-50.5,21,2.730184
-55.0,18,2.750972
-56.5,33,2.780164
-50.0,31,2.810862
-55.5,20,2.830593
-57.5,22,2.843952
-57.5,34,2.866572
-59.5,51,2.904124
-47.0,28,2.923993
-44.5,36,2.955111
-53.0,34,2.982055
-52.5,26,3.012186
-61.5,44,3.054223
-52.5,35,3.08336
-50.5,30,3.645454
-58.0,39,3.681011
-59.5,42,3.732382
-46.0,45,3.770985
-52.0,33,3.795604
-47.0,19,3.810811
-46.5,35,3.839279
-63.0,56,3.907563
-47.0,34,3.928548
-46.0,30,3.949793
-58.5,68,4.010088
-46.0,48,4.047603
-57.0,68,4.621069
-41.0,82,4.688366
-45.0,44,4.733244
-55.0,39,4.768572
-48.5,58,4.818604
-51.5,52,4.859798
-50.5,33,4.8841
-57.5,40,4.91216
-53.0,43,4.938601
-57.5,52,4.980223
-47.0,52,5.019744
-54.0,32,5.707886
-53.5,30,5.732108
-60.0,38,5.771019
-51.5,22,5.786723
-56.0,28,5.807581
-56.0,31,5.826025
-58.0,45,5.858725
-68.0,49,5.895368
-51.0,29,5.934941
-50.0,28,5.955824
-49.0,30,5.97541
-51.0,23,5.991638
-52.0,30,6.009518
-59.0,25,6.030739
-56.0,25,6.047425
-57.0,35,6.077001
-55.5,23,6.093278
-49.0,39,6.117296
-58.5,23,6.133878
-68.5,42,6.17655
-60.5,37,6.207716
-57.5,40,6.241209
-54.5,25,6.274903
-47.0,34,6.303744
-55.5,26,6.325119
-55.0,33,6.356674
-55.5,20,6.373705
-53.5,27,6.400815
-54.0,26,6.415658
-55.0,39,6.444057
-51.0,29,6.472964
-51.0,23,6.493978
-49.0,21,6.506809
-61.5,38,7.180052
-64.0,45,7.216648
-44.0,43,7.253132
-50.0,25,7.275519
-57.5,31,7.306805
-53.5,24,7.327557
-54.0,29,7.350936
-56.0,37,7.37828
-57.0,26,7.400126
-62.5,42,7.431129
-53.5,39,7.460977
-56.5,42,7.499187
-59.0,37,7.522898
-52.5,20,7.536262
-49.5,29,7.557871
-48.5,16,7.571179
-59.0,43,7.612307
-59.5,42,7.647176
-58.0,36,7.683205
-52.0,24,7.701229
-57.0,41,7.74132
-52.5,26,7.760015
-54.0,35,7.783946
-53.0,34,7.820122
-55.0,36,7.861673
-55.5,29,7.884893
-52.5,26,7.906827
-53.5,36,7.934817
-56.5,36,7.962318
-56.5,45,7.993229
-55.5,32,8.600155
-57.5,37,8.647801
-59.0,46,8.68864
-55.0,30,8.713867
-54.5,31,8.739763
-60.0,47,8.773845
-54.0,32,8.803062
-56.5,54,8.850911
-59.5,42,8.880787
-52.5,20,8.89485
-54.5,34,8.917874
-62.5,45,8.951951
-54.5,25,8.968924
-57.5,43,9.001656
-57.5,31,9.02546
-58.5,35,9.051138
-56.0,25,9.067697
-54.0,20,9.084635
-50.5,27,9.103992
-57.0,50,9.142997
-55.0,30,9.16278
-50.5,33,9.186847
-51.5,34,9.216689
-64.0,45,9.254265
-52.5,26,9.279721
-49.0,45,9.323602
-55.5,32,9.346557
-59.0,40,9.374841
-54.5,64,9.993263
-53.5,30,10.015109
-57.0,47,10.049932
-47.5,27,10.071256
-59.5,51,10.118235
-57.5,40,10.152583
-61.0,57,10.215364
-53.0,34,10.257798
-53.0,31,10.278909
-62.5,54,10.325445
-52.5,41,10.371269
-57.0,38,10.402861
-50.0,49,10.44171
-49.0,36,10.464619
-62.0,64,10.512115
-52.0,36,10.537723
-53.5,39,10.565292
-50.0,55,10.611994
-57.0,56,10.655776
-52.5,35,10.682479
-58.0,42,10.714914
-58.0,66,10.761199
-49.5,20,10.775067
-53.5,54,10.831136
-55.0,27,11.376744
-44.5,69,11.434912
-47.5,48,11.469681
-58.5,65,11.514883
-54.5,49,11.553731
-50.5,42,11.596459
-47.0,37,11.626595
-55.0,69,11.676774
-56.0,76,11.734698
-48.5,52,11.780759
-54.5,52,11.821545
-46.5,98,11.904702
-46.5,59,11.946484
-54.5,49,11.982799
-48.5,46,12.015179
-49.5,68,12.066569
-56.5,33,12.093721
-56.0,55,12.131217
-56.0,85,12.757313
-37.0,57,12.811792
-48.0,62,12.860749
-44.0,64,12.918077
-44.0,79,12.977465
-46.0,75,13.028583
-50.0,97,13.105363
-41.0,61,13.153086
-40.0,69,13.207328
-42.0,74,13.272067
-40.5,98,13.348585
-37.0,114,13.436477
-49.5,86,13.49822
-41.5,69,14.17307
-22.5,197,14.324758
-38.0,121,14.427756
-33.0,152,14.545066
-28.5,101,14.623772
-30.0,134,14.77522
-35.0,79,14.842378
-39.0,77,14.89214
-24.5,200,15.717754
13.5,200,15.876481
-5.5,195,16.046457
-2.0,200,16.197917
-16.5,146,16.345258
-29.0,109,16.435282
1.0,181,17.233902
32.0,200,17.381079
41.5,200,17.538366
36.5,200,17.695282
18.5,200,17.836472
12.5,200,18.491011
40.0,200,18.653073
27.0,200,18.800833
21.5,200,18.967876
39.0,200,19.129908
