#{"t_start": 1773518931.0733502, "env_id": "None"}
r,l,t
-59.5,24,1.715632
-57.5,34,1.750118
-56.5,27,1.770678
-67.5,56,1.811324
-55.0,36,1.832737
-54.5,37,1.857846
-57.5,43,1.888424
-49.0,30,1.909712
-52.5,26,1.930615
-61.0,27,1.949707
-53.5,27,1.969489
-51.5,28,1.994268
-52.5,26,2.010653
-52.5,35,2.031898
-55.5,29,2.053033
-57.0,29,2.07162
-53.0,34,2.09435
-50.5,30,2.112936
-55.0,27,2.133598
-52.0,21,2.146139
-58.0,36,2.172246
-48.5,28,2.193066
-55.5,29,2.220117
-53.5,24,2.234303
-53.5,27,2.25567
-60.0,26,2.271703
-56.5,39,2.301612
-46.5,26,2.331025
-60.0,35,2.366749
-60.0,32,2.390984
-54.5,25,2.410281
-53.5,21,2.424601
-60.5,34,2.447729
-54.0,35,3.072355
-51.0,44,3.098937
-49.5,26,3.120883
-49.0,48,3.164692
-60.5,34,3.201869
-50.5,27,3.222115
-57.0,26,3.240248
-51.5,19,3.254539
-58.5,29,3.283115
-49.5,23,3.300736
-51.0,41,3.345722
-52.0,36,3.370791
-51.0,23,3.38571
-61.5,41,3.416856
-55.5,38,3.446455
-51.5,19,3.458771
-45.5,31,3.478754
-51.5,31,3.500849
-59.5,30,3.520987
-60.5,43,3.557108
-55.5,35,3.586669
-56.0,31,3.60451
-54.5,28,3.622802
-59.5,60,3.688988
-48.0,23,3.705664
-58.5,47,3.740493
-60.0,47,3.775995
-52.0,33,3.809451
-51.5,49,3.850514
-61.0,39,3.891013
-52.0,54,4.564543
-54.5,31,4.582863
-51.0,29,4.601501
-58.5,47,4.638683
-57.0,32,4.66073
-57.0,41,4.690673
-52.0,33,4.713172
-50.0,46,4.755417
-51.5,22,4.771822
-54.5,37,4.810005
-48.0,29,4.832995
-47.5,27,4.851176
-54.5,31,4.888871
-49.5,35,4.92703
-60.0,44,4.98106
-50.5,30,4.99876
-54.5,46,5.028814
-57.0,29,5.047676
-54.0,29,5.064602
-57.5,61,5.105678
-53.5,39,5.131777
-52.5,23,5.150989
-57.5,43,5.183379
-63.0,44,5.22299
-52.5,44,5.256156
-56.0,37,5.284283
-49.0,51,5.314801
-58.0,69,6.06677
-50.0,46,6.101656
-56.5,60,6.150843
-57.0,44,6.18278
-55.5,68,6.238011
-55.5,47,6.27566
-48.0,62,6.3299
-57.5,73,6.402826
-39.0,71,6.446324
-50.5,33,6.467177
-54.5,43,6.494394
-47.0,46,6.532086
-50.0,37,6.55859
-59.5,39,6.59358
-48.0,41,6.621099
-55.0,48,6.66064
-55.5,44,6.698663
-43.5,41,6.736465
-50.5,39,6.772571
-55.0,45,6.807753
-54.0,44,7.522677
-47.0,49,7.576211
-51.5,58,7.620278
-42.0,56,7.657646
-45.5,79,7.718664
-44.0,73,7.789928
-45.5,43,7.814544
-40.0,81,7.887916
-53.5,54,7.932691
-40.0,117,8.031292
-48.0,83,8.100528
-43.5,62,8.136179
-50.0,73,8.185518
-42.0,56,8.241604
-53.5,87,8.317593
-38.0,94,9.050902
-42.0,98,9.132761
-36.0,80,9.197902
-34.5,71,9.245468
-38.0,94,9.314306
-34.0,57,9.356263
-16.5,143,9.482812
-46.5,44,9.542708
-39.0,80,9.617804
-48.5,82,9.707701
-34.0,87,9.797499
-23.0,115,9.87294
-19.5,137,10.565601
-14.5,111,10.653052
-11.0,151,10.769683
-25.5,125,10.878883
-16.5,152,10.988858
-18.5,133,11.124204
-25.0,126,11.226281
-28.0,108,11.319013
